Series Name,Series Code,Country Name,Country Code,2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
GDP per capita (current US$),NY.GDP.PCAP.CD,Afghanistan,AFG, , ,179.426579211394,190.683814295088,211.382074198939,242.031313175022,263.733601866274,359.693157866109,364.6635420423,437.26874023514,543.306526178281,591.190030208565,638.845851607289,624.315454506615,614.223342360392,556.007220861443,512.012778129357,516.679862210543,485.668418729808,494.179349886029,516.747870807558
GDP per capita (current US$),NY.GDP.PCAP.CD,Albania,ALB,1126.68334010717,1281.6598256178,1425.12421860142,1846.12012081207,2373.58129170055,2673.78658429559,2972.74292399799,3595.03805682893,4370.5399247769,4114.13489916342,4094.34838574494,4437.14261222684,4247.63004748194,4413.06200528903,4578.63320812155,3952.80253807527,4124.05538986272,4531.0193737689,5287.66369446913,5396.21586434732,5332.16047456847
GDP per capita (current US$),NY.GDP.PCAP.CD,Algeria,DZA,1765.02714611601,1740.60665427662,1781.82890798394,2103.38129106939,2610.18542243488,3113.09488313746,3478.71000237566,3950.5129931247,4923.63161541179,3883.27090043586,4480.78631766464,5455.67940349747,5592.22011465753,5499.58733105334,5493.05669453687,4177.8895415169,3946.45244712537,4109.69821695727,4142.01855842917,3989.66827645236,3306.85820838104
GDP per capita (current US$),NY.GDP.PCAP.CD,American Samoa,ASM, , ,8666.65538195914,8807.46281200101,8528.24877689163,8395.31877025371,8340.52343974691,8874.87792759607,9740.82449121586,11910.013233348,10216.8176306968,10223.2983588916,11496.5240977923,11450.7241954879,11525.1563872309,12059.6351646776,12038.2496994923,11003.8297642807,11521.6097798453,11715.3601388487,12844.9009909959
GDP per capita (current US$),NY.GDP.PCAP.CD,Andorra,AND,21854.2468030614,22970.5122133619,25067.2400639132,32272.8458909877,37966.1872524395,40064.2249292197,42674.7589681092,47804.8499340211,48719.6587699036,43504.2156523202,40849.7612766794,43333.9730414795,38684.5665299216,39538.3552064403,41302.3821426181,35770.9186530024,37474.7458403618,38964.662014361,41793.3188365378,40898.4179063904,37416.6977203275
GDP per capita (current US$),NY.GDP.PCAP.CD,Angola,AGO,556.83618223535,527.333528536691,872.494441791273,982.960981888823,1255.56423822184,1902.42214975937,2599.56594793067,3121.99608528081,4080.94101529549,3122.78174333089,3497.9744877961,4518.31335013452,4978.43443525745,5127.71724294327,5094.11232930191,3127.89059784461,1728.02375418026,2313.22058359692,2524.94248263123,2177.79901475964,1631.43169087951
GDP per capita (current US$),NY.GDP.PCAP.CD,Antigua and Barbuda,ATG,10872.2929515751,10367.3196068161,10401.0508759034,10797.9510571837,11446.9691417182,12557.5478500769,13995.8044243845,15622.6928710238,16044.1057963132,14160.5620007335,13048.9605816199,12746.6334682021,13272.7349447294,12910.5906255945,13501.5809223367,14285.3297773091,15198.7429664112,15383.5763979856,16679.5916624545,17376.6496765004,13992.7444804497
GDP per capita (current US$),NY.GDP.PCAP.CD,Argentina,ARG,7708.09911454041,7208.37311355372,2593.404563368,3349.80630031036,4277.72157290954,5109.85224490403,5919.01233837714,7245.44685667197,9020.87332314274,8225.13758261645,10385.9644319555,12848.8641969705,13082.664325572,13080.2547323367,12334.7982453893,13789.060424772,12790.2424732447,14613.041824658,11795.1593866287,10076.3552409481,8585.69474249794
GDP per capita (current US$),NY.GDP.PCAP.CD,Armenia,ARM,622.740922945281,694.423455373229,783.241214960091,930.125472654125,1191.92100563238,1643.75688889146,2158.1480742298,3139.28071035448,4010.86138084833,2994.34047090816,3218.37829927419,3525.80719813557,3681.84469060495,3838.17387997786,3986.23162376713,3607.28929855361,3591.82805221639,3914.52785436696,4220.54032079145,4604.64632355695,4266.01807420946
GDP per capita (current US$),NY.GDP.PCAP.CD,Aruba,ABW,20614.7993478518,20417.7759623298,20654.4885167631,21070.0717223168,22834.2846487073,23591.1598383737,24495.0153945714,26452.2319491525,28048.1517706491,25170.8323632477,24134.473859403,25849.9640060328,25496.8439417217,26442.4268006965,26895.0571665314,28399.0501310163,28453.715564598,29348.418968591,30253.7142345626,31135.8843563332,23384.2987907455
