Series Name,"Series Code","Country Name","Country Code","2000 [YR2000]","2001 [YR2001]","2002 [YR2002]","2003 [YR2003]","2004 [YR2004]","2005 [YR2005]","2006 [YR2006]","2007 [YR2007]","2008 [YR2008]","2009 [YR2009]","2010 [YR2010]","2011 [YR2011]","2012 [YR2012]","2013 [YR2013]","2014 [YR2014]","2015 [YR2015]","2016 [YR2016]","2017 [YR2017]","2018 [YR2018]","2019 [YR2019]","2020 [YR2020]"
"Life expectancy at birth, total (years)","SP.DYN.LE00.IN","Czechia","CZE","74.9682926829268","75.1731707317073","75.2219512195122","75.1707317073171","75.7219512195122","75.9243902439025","76.5243902439024","76.7243902439025","76.9756097560976","77.0780487804878","77.4243902439025","77.8731707317073","78.0756097560976","78.1756097560976","78.8243902439024","78.5780487804878","79.0268292682927","78.9780487804878","79.0292682926829","79.2292682926829","78.2268292682927"
"Life expectancy at birth, total (years)","SP.DYN.LE00.IN","Denmark","DNK","76.5926829268293","76.7926829268293","76.8951219512195","77.1439024390244","77.4926829268293","77.8439024390244","78.0951219512195","78.1951219512195","78.4463414634146","78.5975609756098","79.1","79.8","80.0512195121951","80.3","80.7","80.7024390243902","80.8536585365854","81.1024390243903","80.9536585365854","81.4512195121951","81.5512195121951"
"Life expectancy at birth, total (years)","SP.DYN.LE00.IN","Djibouti","DJI","57.022","57.1","57.235","57.427","57.682","57.991","58.34","58.719","59.124","59.561","60.062","60.667","61.395","62.239","63.171","64.136","65.064","65.893","66.582","67.112","67.49"
"Life expectancy at birth, total (years)","SP.DYN.LE00.IN","Dominica","DMA","NA","NA","76.5975609756098","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"Life expectancy at birth, total (years)","SP.DYN.LE00.IN","Dominican Republic","DOM","69.429","69.69","69.957","70.227","70.499","70.771","71.041","71.304","71.559","71.806","72.046","72.284","72.523","72.763","73.003","73.241","73.471","73.689","73.892","74.081","74.257"
"Life expectancy at birth, total (years)","SP.DYN.LE00.IN","Ecuador","ECU","72.761","73.078","73.371","73.641","73.887","74.112","74.319","74.514","74.705","74.895","75.089","75.289","75.495","75.707","75.923","76.143","76.365","76.584","76.8","77.01","77.216"
"Life expectancy at birth, total (years)","SP.DYN.LE00.IN","Egypt, Arab Rep.","EGY","68.602","68.796","68.961","69.116","69.271","69.434","69.608","69.788","69.971","70.159","70.349","70.543","70.736","70.928","71.117","71.302","71.482","71.656","71.825","71.99","72.15"
"Life expectancy at birth, total (years)","SP.DYN.LE00.IN","El Salvador","SLV","68.875","69.162","69.432","69.68","69.908","70.124","70.333","70.542","70.756","70.978","71.21","71.449","71.692","71.935","72.175","72.412","72.644","72.872","73.096","73.317","73.533"
"Life expectancy at birth, total (years)","SP.DYN.LE00.IN","Equatorial Guinea","GNQ","53.279","53.581","53.84","54.064","54.263","54.449","54.638","54.842","55.07","55.329","55.622","55.945","56.288","56.642","57.001","57.359","57.713","58.061","58.402","58.735","59.057"
"Life expectancy at birth, total (years)","SP.DYN.LE00.IN","Eritrea","ERI","55.273","55.864","56.5","57.191","57.932","58.707","59.487","60.243","60.952","61.602","62.193","62.732","63.238","63.726","64.201","64.664","65.111","65.538","65.941","66.321","66.679"
"Life expectancy at birth, total (years)","SP.DYN.LE00.IN","Eswatini","SWZ","47.49","45.799","44.41","43.372","42.731","42.518","42.733","43.308","44.17","45.275","46.601","48.141","49.862","51.699","53.569","55.359","56.962","58.319","59.401","60.194","60.721"
"Life expectancy at birth, total (years)","SP.DYN.LE00.IN","Ethiopia","ETH","51.941","52.595","53.349","54.211","55.174","56.223","57.334","58.467","59.581","60.645","61.627","62.505","63.281","63.961","64.547","65.048","65.482","65.872","66.24","66.597","66.953"
"Life expectancy at birth, total (years)","SP.DYN.LE00.IN","Faroe Islands","FRO","78.4365853658537","78.6414634146341","78.8439024390244","78.9439024390244","79.0926829268293","79.290243902439","79.6390243902439","79.9878048780488","80.1365853658537","80.3853658536585","80.6878048780488","80.9390243902439","81.190243902439","81.4414634146341","81.5926829268293","81.7926829268293","82.0926829268293","82.2926829268293","82.5439024390244","82.7926829268293","83.0926829268293"
"Life expectancy at birth, total (years)","SP.DYN.LE00.IN","Fiji","FJI","65.687","65.863","66.022","66.152","66.247","66.313","66.362","66.413","66.477","66.559","66.655","66.759","66.859","66.95","67.03","67.103","67.175","67.252","67.341","67.444","67.561"
"Life expectancy at birth, total (years)","SP.DYN.LE00.IN","Finland","FIN","77.4658536585366","77.9658536585366","78.119512195122","78.3682926829268","78.7146341463415","78.8170731707317","79.2146341463415","79.2634146341464","79.5682926829268","79.719512195122","79.8707317073171","80.4707317073171","80.6268292682927","80.9756097560976","81.1804878048781","81.4804878048781","81.4292682926829","81.6317073170732","81.7341463414634","81.9829268292683","82.1317073170732"
"Life expectancy at birth, total (years)","SP.DYN.LE00.IN","France","FRA","79.0560975609756","79.1585365853659","79.2609756097561","79.1146341463415","80.1634146341463","80.1634146341463","80.8121951219512","81.1121951219512","81.2146341463415","81.4146341463415","81.6634146341463","82.1146341463415","81.9682926829268","82.219512195122","82.719512195122","82.3219512195122","82.5731707317073","82.5756097560976","82.6756097560976","82.8268292682927","82.1756097560976"
"Life expectancy at birth, total (years)","SP.DYN.LE00.IN","French Polynesia","PYF","72.303","72.658","73.017","73.382","73.751","74.116","74.466","74.793","75.092","75.363","75.611","75.844","76.074","76.307","76.546","76.787","77.024","77.251","77.462","77.657","77.836"
